,"('adrenal gland', 'cells in zona fasciculata')","('urinary bladder', 'urothelial cells')","('retina', 'nerve fibers in nerve fiber layer')","('soft tissue 1', 'peripheral nerve')","('endometrium 1', 'glandular cells')","('eye', 'lens epithelial cells')","('stomach 1', 'glandular cells')","('lactating breast', 'lactating glandular cells')","('epididymis', 'glandular cells')","('caudate', 'synapses')","('testis', 'Leydig cells')","('testis', 'pachytene spermatocytes')","('choroid plexus', 'ependymal cells')","('parathyroid gland', 'glandular cells')","('small intestine', 'glandular cells')","('testis', 'sertoli cells')","('hypothalamus', 'neuronal cells')","('endometrium 2', 'glandular cells')","('soft tissue 2', 'adipocytes')","('pancreas', 'islets of Langerhans')","('adrenal gland', 'cells in zona glomerulosa')","('eye', 'vitreous humor')","('fallopian tube', 'glandular cells')","('colon', 'peripheral nerve/ganglion')","('pituitary gland', 'cells in posterior ')","('cerebellum', 'cells in granular layer')","('cerebral cortex', 'neuropil')","('retina', 'limiting membrane')","('skin', 'secretory cells')","('retina', 'pigment epithelium')","('caudate', 'neuronal projections')","('cerebellum', 'Purkinje cells')","('appendix', 'lymphoid tissue')","('hippocampus', 'neuronal cells')","('soft tissue 2', 'peripheral nerve')","('testis', 'cells in seminiferous ducts')","('retina', 'cells in inner nuclear layer ')","('retina', 'ganglion cells ')","('skeletal muscle', 'myocytes')","('tonsil', 'germinal center cells')","('testis', 'elongated or late spermatids')","('placenta', 'decidual cells')","('lung', 'macrophages')","('soft tissue 1', 'adipocytes')","('hair', 'cells in internal root sheath')","('cerebral cortex', 'endothelial cells')","('breast', 'adipocytes')","('skin', 'sweat ducts')","('adrenal gland', 'glandular cells')","('oral mucosa', 'squamous epithelial cells')","('heart muscle', 'myocytes')","('endometrium 2', 'cells in endometrial stroma')","('cerebral cortex', 'neuronal cells')","('spleen', 'cells in red pulp')","('skin 1', 'fibroblasts')","('hypothalamus', 'synapses')","('skin 2', 'epidermal cells')","('tonsil', 'non-germinal center cells')","('liver', 'bile duct cells')","('pancreas', 'exocrine glandular cells')","('tonsil', 'squamous epithelial cells')","('cerebral cortex', 'synapses')","('liver', 'hepatocytes')","('eye', 'corneal epithelial cells')","('hippocampus', 'glial cells')","('hypothalamus', 'neuronal projections')","('cerebral cortex', 'neuronal projections')","('sole of foot', 'epidermal cells')","('testis', 'round or early spermatids')","('vagina', 'squamous epithelial cells')","('soft tissue 2', 'fibroblasts')","('eye', 'lens fiber cells')","('lung', 'pneumocytes')","('cervix, uterine', 'squamous epithelial cells')","('hair', 'cells in cuticle')","('smooth muscle', 'smooth muscle cells')","('testis', 'spermatogonia')","('hippocampus', 'neuronal projections')","('gallbladder', 'glandular cells')","('endometrium 1', 'cells in endometrial stroma')","('retina', 'nerve fibers in inner plexiform layer')","('rectum', 'glandular cells')","('hippocampus', 'synapses')","('appendix', 'glandular cells')","('thyroid gland', 'glandular cells')","('placenta', 'trophoblastic cells')","('adrenal gland', 'medullary cells')","('lymph node', 'germinal center cells')","('pituitary gland', 'cells in anterior ')","('esophagus', 'squamous epithelial cells')","('soft tissue 2', 'chondrocytes')","('testis', 'preleptotene spermatocytes')","('salivary gland', 'glandular cells')","('lymph node', 'non-germinal center cells')","('retina', 'cells in photoreceptor layer ')","('colon', 'endothelial cells')","('kidney', 'cells in tubules')","('cerebral cortex', 'glial cells')","('caudate', 'neuronal cells')","('soft tissue 1', 'chondrocytes')","('lactating breast', 'ductal cells')","('kidney', 'cells in glomeruli')","('bone marrow', 'hematopoietic cells')","('thymus', 'medullary cells')","('skin 1', 'keratinocytes')","('breast', 'glandular cells')","('hair', 'cells in cortex/medulla')","('thymus', 'cortical cells')","('seminal vesicle', 'glandular cells')","('skin 1', 'melanocytes')","('bronchus', 'respiratory epithelial cells')","('breast', 'myoepithelial cells')","('retina', 'nerve fibers in outer plexiform layer ')","('skin 1', 'Langerhans')","('skin', 'sebaceous cells')","('adrenal gland', 'cells in zona reticularis')","('testis', 'peritubular cells')","('prostate', 'glandular cells')","('hypothalamus', 'glial cells')","('soft tissue 1', 'fibroblasts')","('hair', 'cells in external root sheath')","('cerebellum', 'cells in molecular layer')","('colon', 'glandular cells')","('cervix, uterine', 'glandular cells')","('stomach 2', 'glandular cells')","('ovary', 'follicle cells')","('spleen', 'cells in white pulp')","('ovary', 'ovarian stroma cells')","('caudate', 'glial cells')","('duodenum', 'glandular cells')","('nasopharynx', 'respiratory epithelial cells')"
MAX,0,3,0,2,2,0,2,3,3,0,1,2,3,3,3,0,1,1,2,2,0,0,3,2,3,2,0,0,0,0,0,1,3,0,2,2,0,0,1,3,3,3,3,2,2,0,2,0,2,2,1,3,1,3,2,0,2,3,0,2,2,0,0,0,2,3,0,0,3,3,2,2,3,1,0,2,0,3,3,2,0,3,0,2,2,0,3,3,3,3,2,0,2,3,3,2,1,0,1,2,0,2,2,3,2,3,3,3,3,2,1,2,0,2,3,0,3,3,2,2,3,2,2,3,2,2,3,3,1,2,3
ARMCX5,0,2,0,2,0,0,3,3,1,0,0,2,3,1,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,2,3,0,0,0,1,3,2,0,2,2,0,2,0,2,1,0,0,2,0,2,0,1,1,0,0,1,0,0,0,0,3,0,0,3,1,2,2,2,1,0,2,0,3,1,0,0,0,0,0,1,2,3,0,3,1,2,0,0,0,3,2,0,0,1,0,0,0,1,3,1,1,3,3,2,2,2,2,0,2,3,0,3,0,2,0,3,2,1,0,0,0,0,0,1,1,2
NECAB3,0,3,0,2,3,0,3,3,2,0,3,2,3,3,3,0,1,3,0,0,0,0,2,2,3,3,2,0,0,0,0,3,3,0,0,3,0,0,1,3,3,1,3,2,2,0,0,0,2,0,3,0,3,0,3,0,3,3,0,2,1,0,1,0,0,3,0,0,3,2,3,2,2,0,0,2,0,3,3,0,0,3,0,3,2,2,3,2,3,1,2,0,2,2,3,0,3,0,0,0,0,0,0,3,1,2,3,3,3,3,3,0,0,3,3,0,3,1,2,0,3,3,3,2,3,3,2,0,0,3,3
ID1,0,2,0,2,2,0,2,3,2,0,2,2,3,1,2,0,1,2,0,2,0,0,2,2,3,1,2,0,0,0,0,1,0,2,3,2,0,0,2,1,3,1,2,0,2,1,0,0,2,2,1,2,2,2,3,0,2,3,1,3,2,0,2,0,2,3,0,0,3,2,2,2,2,2,0,2,0,3,2,1,0,2,0,2,2,3,3,2,3,2,3,0,2,2,3,2,2,1,2,3,0,1,2,3,2,2,3,3,2,2,3,2,0,1,3,0,3,2,2,3,3,2,2,2,2,3,1,0,2,1,2
RALY,0,3,0,3,3,0,3,3,3,0,2,2,3,3,3,0,1,2,3,3,0,0,3,2,3,3,0,0,0,0,0,3,3,2,2,3,0,0,3,3,3,3,3,3,2,3,3,0,2,3,3,2,3,3,2,0,3,3,2,3,3,0,2,0,3,3,0,0,3,3,2,2,3,2,0,2,0,3,3,3,0,3,0,3,3,3,3,3,3,3,3,0,2,3,3,2,3,3,3,2,0,3,2,3,2,3,3,3,2,3,3,2,0,3,3,0,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3
DYNLRB1,0,2,0,3,2,0,2,3,2,0,2,2,3,2,3,0,1,2,1,1,0,0,3,1,3,1,1,0,0,0,0,0,2,0,0,3,0,0,1,2,3,2,2,1,2,0,0,0,2,2,1,2,0,0,1,0,1,1,2,1,2,0,2,0,2,3,0,0,3,0,1,2,1,2,0,1,0,3,2,2,0,2,0,2,2,2,3,2,3,1,3,0,2,1,3,2,2,2,0,2,0,1,1,3,2,2,3,3,2,1,2,1,0,1,3,0,3,2,2,2,3,2,2,2,2,2,0,2,2,2,2
EIF2S2,0,3,0,0,3,0,3,3,2,0,2,2,3,1,2,0,1,2,1,2,0,0,3,3,3,0,1,0,0,0,0,2,3,2,0,2,0,0,1,3,3,2,2,1,2,1,2,0,2,2,1,2,2,2,2,0,3,2,1,3,3,0,2,0,1,3,0,0,3,3,2,2,2,2,0,1,0,3,3,2,0,2,0,3,2,3,3,3,3,3,1,0,3,2,3,2,2,2,2,1,0,2,2,3,2,3,3,3,3,2,3,2,0,2,3,0,3,2,2,2,3,1,3,2,3,2,2,2,1,3,3
ERGIC3,0,2,0,1,2,0,2,3,2,0,1,2,3,1,2,0,1,3,0,1,0,0,1,0,3,0,0,0,0,0,0,3,1,2,0,1,0,0,0,2,3,2,2,0,2,0,0,0,2,2,0,0,3,2,0,0,3,2,1,2,1,0,1,0,0,3,0,0,3,0,0,2,1,0,0,0,0,3,2,0,0,2,0,2,2,3,3,2,3,1,1,0,2,1,3,0,2,1,2,1,0,0,2,3,2,2,3,3,2,2,3,0,0,0,3,0,3,2,2,0,3,0,2,1,2,2,1,0,1,2,3
ROMO1,0,3,0,0,3,0,3,3,3,0,3,2,3,3,2,0,1,3,0,3,0,0,3,3,3,2,0,0,0,0,0,3,2,3,3,3,0,0,3,3,3,2,3,0,2,3,0,0,2,3,2,3,3,3,2,0,3,3,3,3,3,0,0,0,3,3,0,0,3,3,3,2,3,2,0,2,0,3,3,3,0,3,0,3,3,3,3,3,3,3,1,0,3,3,3,3,3,3,3,0,0,3,3,3,2,2,3,3,3,2,3,2,0,2,3,0,3,3,2,2,3,1,3,3,3,2,3,2,2,3,3
BPIFB1,0,0,0,0,0,0,0,3,0,0,1,2,3,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,3,0,2,0,3,0,1,3,2,0,0,0,0,2,3
AMOT,0,0,0,0,0,0,0,3,1,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,3,3,0,0,0,0,0,2,0,3,0,0,3,3,0,0,0,0,0,0,3,0,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0
TMEM115,0,2,0,1,2,0,2,3,2,0,3,2,3,1,2,0,1,2,1,2,0,0,2,2,3,1,2,0,0,0,0,2,2,2,1,2,0,0,0,3,3,2,2,1,2,1,0,0,2,1,1,2,2,3,2,0,1,3,2,2,2,0,2,0,1,3,0,0,3,1,1,2,2,1,0,0,0,3,2,2,0,2,0,2,2,2,3,2,3,1,1,0,2,3,3,1,2,1,2,1,0,2,2,3,2,2,3,3,2,2,2,0,0,2,3,0,3,2,2,1,3,2,2,1,2,1,2,2,2,2,2
PSMB2,0,3,0,0,3,0,3,3,3,0,2,2,3,2,3,0,1,2,0,2,0,0,3,2,3,2,1,0,0,0,0,3,2,2,0,2,0,0,3,2,3,2,1,0,2,0,0,0,2,2,3,1,2,1,1,0,2,3,2,3,2,0,3,0,0,3,0,0,3,1,0,2,1,2,0,0,0,3,3,0,0,3,0,3,2,3,3,3,3,2,1,0,2,3,3,2,3,1,2,1,0,1,2,3,2,2,3,3,3,2,3,2,0,2,3,0,3,3,2,0,3,1,3,2,3,1,2,0,1,3,2
AGO3,0,0,0,0,0,0,1,3,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,3,0,1,0,0,1,0,0,0,3,0,0,3,3,0,0,0,0,0,0,3,0,3,0,2,0,3,0,0,0,2,0,0,0,0,0,0
UROD,0,3,0,0,3,0,3,3,3,0,0,2,3,2,3,0,1,2,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,3,0,0,3,0,0,2,3,0,0,0,0,3,3,0,0,3,0,3,1,3,3,0,3,0,0,0,2,0,3,0,3,0,0,0,0,0,0,3,0,3,3,3,2,0,3,0,0,0,3,0,3,3,2,0,3,0,3,2,3,0,0,0,0,3,3
ST3GAL3,0,2,0,0,2,0,3,3,1,0,3,2,3,3,3,0,1,2,0,3,0,0,2,2,3,1,2,0,0,0,0,1,2,2,0,3,0,0,0,3,3,3,1,0,2,0,2,0,2,0,2,2,1,3,2,0,0,2,1,2,0,0,3,0,2,3,0,0,3,0,0,2,0,1,0,0,0,3,2,1,0,2,0,3,2,0,3,3,3,2,0,0,2,3,3,0,2,1,2,0,0,0,1,3,0,2,3,3,3,0,2,2,0,0,3,0,3,2,2,0,3,1,2,0,2,0,1,2,0,3,2
TMEM53,0,2,0,0,1,0,2,3,2,0,2,2,3,0,2,0,1,0,0,2,0,0,0,1,3,0,1,0,0,0,0,2,0,2,1,2,0,0,1,1,3,2,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,1,0,2,0,0,1,0,1,3,0,0,3,0,0,2,0,0,0,0,0,3,2,0,0,2,0,2,2,2,3,0,3,0,0,0,0,1,3,1,1,1,2,0,0,1,1,3,0,0,3,3,1,0,2,0,0,0,3,0,3,2,2,0,3,2,2,0,2,0,0,0,0,2,2
HECTD3,0,2,0,1,1,0,2,3,2,0,2,2,3,2,2,0,1,2,0,2,0,0,2,2,3,1,1,0,0,0,0,2,1,2,0,2,0,0,2,2,3,2,2,0,2,1,0,0,2,2,2,1,2,0,0,0,2,2,2,2,2,0,2,0,0,3,0,0,3,2,0,2,1,2,0,1,0,3,2,0,0,2,0,2,2,2,3,2,3,2,2,0,2,2,3,2,2,0,2,0,0,2,2,3,2,2,3,3,2,2,2,2,0,0,3,0,3,2,2,0,3,1,2,2,2,2,0,0,2,2,2
TUBGCP3,0,3,0,1,1,0,2,3,2,0,2,2,3,2,3,0,1,3,0,2,0,0,2,0,3,2,2,0,0,0,0,1,3,0,0,2,0,0,2,2,3,2,0,1,2,1,0,0,2,3,2,1,1,1,2,0,3,3,2,3,3,0,3,0,1,3,0,0,3,3,0,2,1,3,0,2,0,3,3,0,0,3,0,2,2,3,3,3,3,3,2,0,3,3,3,1,3,0,0,0,0,1,3,3,2,2,3,3,3,2,3,2,0,1,3,0,3,2,2,0,3,0,3,2,3,2,3,1,1,3,3
PCID2,0,2,0,2,2,0,2,3,2,0,3,2,3,1,2,0,1,1,2,2,0,0,2,2,3,0,1,0,0,0,0,0,2,0,1,3,0,0,2,2,3,1,2,2,2,0,2,0,2,1,2,1,1,1,2,0,1,2,1,2,1,0,1,0,0,3,0,0,3,1,1,2,2,1,0,2,0,3,2,2,0,2,0,2,2,1,3,1,3,1,2,0,1,1,3,0,2,1,1,3,0,0,2,3,1,2,3,3,2,2,2,2,0,2,3,0,3,1,2,2,3,1,2,2,2,2,1,1,1,2,2
PROZ,0,1,0,0,0,0,1,3,1,0,1,2,3,1,1,0,1,0,2,0,0,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,2,1,1,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,1,3,0,0,3,0,0,2,0,0,0,0,0,3,1,0,0,1,0,0,0,1,3,0,3,0,2,0,1,0,3,1,1,0,1,3,0,0,0,3,0,0,3,3,1,0,1,1,0,0,3,0,3,0,2,1,3,0,1,0,1,1,0,0,0,1,1
SLURP1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,3,3,0,0,0,0,0,0,3,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0
LRFN3,0,1,0,0,1,0,2,3,1,0,2,2,3,2,2,0,1,0,0,1,0,0,2,1,3,2,1,0,0,0,0,2,0,1,0,1,0,0,3,0,3,2,0,0,2,1,0,0,2,1,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,3,2,0,0,2,0,3,1,1,3,0,3,1,0,0,2,1,3,0,2,0,2,0,0,0,1,3,1,1,3,3,1,2,2,1,0,0,3,0,3,1,2,0,3,2,2,0,2,1,0,0,0,2,2
IGFLR1,0,2,0,0,0,0,2,3,2,0,3,2,3,2,1,0,1,0,0,2,0,0,0,0,3,1,1,0,0,0,0,2,0,3,0,2,0,0,1,0,3,0,2,1,2,0,0,0,2,0,2,0,3,1,0,0,0,0,0,1,1,0,2,0,1,3,0,0,3,0,0,2,0,0,0,0,0,3,2,0,0,1,0,0,2,1,3,0,3,0,0,0,0,1,3,0,1,1,3,0,0,0,0,3,0,0,3,3,2,0,1,0,0,0,3,0,3,2,2,0,3,1,1,0,2,1,0,0,1,1,1
CAPNS1,0,3,0,0,3,0,3,3,3,0,2,2,3,3,1,0,1,3,2,3,0,0,3,1,3,2,1,0,0,0,0,2,1,3,0,2,0,0,0,2,3,2,3,1,2,2,1,0,2,2,1,2,3,2,1,0,1,2,3,1,2,0,0,0,3,3,0,0,3,2,2,2,2,1,0,2,0,3,2,2,0,2,0,2,3,3,3,2,3,2,0,0,3,2,3,1,3,3,3,0,0,3,3,3,2,3,3,3,3,1,3,3,0,1,3,0,3,2,2,2,3,2,2,3,2,1,2,1,3,1,3
PDCD2L,0,2,0,0,3,0,3,3,2,0,3,2,3,3,3,0,1,3,1,2,0,0,3,1,3,2,2,0,0,0,0,2,2,2,0,3,0,0,1,3,3,1,2,1,2,2,2,0,2,0,2,1,2,2,3,0,2,3,2,2,1,0,2,0,1,3,0,0,3,0,2,2,2,1,0,2,0,3,3,1,0,3,0,2,2,2,3,2,3,1,0,0,2,3,3,1,3,0,3,1,0,0,2,3,2,3,3,3,2,2,3,2,0,2,3,0,3,2,2,2,3,2,2,3,3,3,3,1,1,3,3
RBM42,0,3,0,0,3,0,3,3,3,0,2,2,3,3,2,0,1,2,3,2,0,0,3,1,3,2,0,0,0,0,0,2,2,2,2,3,0,0,2,2,3,3,2,2,2,2,2,0,2,3,0,2,2,2,3,0,2,2,2,3,3,0,1,0,2,3,0,0,3,3,3,2,2,3,0,2,0,3,3,2,0,3,0,2,3,3,3,2,3,3,0,0,2,2,3,3,3,3,2,1,0,2,2,3,3,3,3,3,3,3,2,3,0,3,3,0,3,2,2,3,3,2,2,3,3,3,2,2,2,3,3
UBA2,0,3,0,3,3,0,3,3,3,0,3,2,3,3,3,0,1,3,3,3,0,0,3,3,3,3,1,0,0,0,0,3,3,3,3,3,0,0,3,3,3,3,1,3,2,3,3,0,2,3,2,3,3,3,3,0,3,3,3,3,3,0,2,0,3,3,0,0,3,3,3,2,3,3,0,3,0,3,3,1,0,3,0,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
FFAR2,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,2,0,0,0,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,1,3,0,0,0,2,3,0,0,2,3,1,0,3,3,0,1,0,0,0,1,3,0,3,1,2,0,3,0,0,0,0,1,0,0,1,0,0
HCST,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,2,3,0,0,0,0,3,0,0,3,3,1,0,3,3,0,1,0,0,0,1,3,0,3,0,2,0,3,0,0,0,0,0,2,0,0,0,0
COX6B1,0,3,0,1,2,0,3,3,3,0,1,2,3,3,3,0,1,2,1,3,0,0,3,1,3,2,1,0,0,0,0,3,2,3,0,2,0,0,2,3,3,2,2,1,2,1,1,0,2,3,3,1,3,0,0,0,3,3,2,2,3,0,3,0,1,3,0,0,3,2,0,2,2,2,0,1,0,3,3,0,0,3,0,3,2,2,3,3,3,2,3,0,3,3,3,1,3,1,3,3,0,1,0,3,1,2,3,3,3,0,3,2,0,0,3,0,3,3,2,2,3,2,3,2,3,0,1,0,0,3,3
THRA,0,3,0,1,2,0,2,3,1,0,2,2,3,3,2,0,1,2,2,0,0,0,2,1,3,2,1,0,0,0,0,2,1,1,2,2,0,0,2,1,3,2,2,2,2,1,2,0,2,2,2,1,3,1,2,0,2,1,2,2,2,0,2,0,0,3,0,0,3,2,2,2,1,3,0,1,0,3,3,1,0,2,0,2,3,2,3,1,3,2,3,0,2,2,3,3,2,1,0,3,0,2,2,3,2,2,3,3,2,2,3,2,0,2,3,0,3,1,2,2,3,2,3,1,2,0,2,2,1,2,3
CCR7,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,3,0,0,0,0,3,0,0,1,3,0,0,3,3,0,0,0,0,0,0,3,0,3,0,2,0,3,0,0,0,0,0,3,0,0,0,0
NR1D1,0,2,0,1,2,0,2,3,2,0,2,2,3,2,2,0,1,0,0,2,0,0,2,2,3,2,1,0,0,0,0,2,1,2,2,2,0,0,1,1,3,2,2,0,2,1,0,0,2,2,2,0,0,2,0,0,2,2,0,2,2,0,2,0,0,3,0,0,3,0,0,2,1,1,0,0,0,3,2,1,0,2,0,2,2,2,3,1,3,2,1,0,0,2,3,2,2,1,1,3,0,1,2,3,1,0,3,3,2,2,2,0,0,1,3,0,3,2,2,0,3,1,2,1,2,0,2,0,1,2,2
FRMD8,0,2,0,2,1,0,2,3,2,0,1,2,3,0,2,0,1,1,0,1,0,0,2,2,3,0,2,0,0,0,0,3,0,2,1,2,0,0,0,1,3,2,2,0,2,1,0,0,2,2,0,0,2,0,2,0,1,1,0,2,2,0,0,0,2,3,0,0,3,0,2,2,0,1,0,0,0,3,2,0,0,3,0,3,1,2,3,1,3,0,1,0,2,0,3,1,1,2,1,3,0,1,0,3,1,2,3,3,2,1,1,1,0,1,3,0,3,2,2,2,3,1,3,2,2,0,0,0,0,2,2
PRDX5,0,2,0,0,2,0,3,3,2,0,3,2,3,2,2,0,1,2,0,2,0,0,2,2,3,2,2,0,0,0,0,1,1,1,1,2,0,0,1,1,3,2,2,0,2,0,1,0,2,2,2,0,2,2,1,0,2,2,0,2,2,0,1,0,0,3,0,0,3,2,1,2,2,2,0,1,0,3,3,0,0,3,0,3,3,2,3,1,3,2,1,0,2,2,3,1,3,0,2,2,0,0,2,3,1,2,3,3,2,1,3,2,0,0,3,0,3,2,2,1,3,1,3,2,3,2,1,0,0,2,3
BCL2L12,0,2,0,1,2,0,2,3,2,0,2,2,3,2,2,0,1,1,0,2,0,0,2,2,3,1,2,0,0,0,0,0,2,1,0,2,0,0,1,2,3,2,2,0,2,1,0,0,2,2,2,0,0,0,2,0,1,1,2,1,2,0,2,0,1,3,0,0,3,1,0,2,0,2,0,2,0,3,2,0,0,2,0,2,2,2,3,1,3,2,1,0,2,2,3,2,2,0,0,2,0,0,2,3,1,2,3,3,2,1,2,2,0,1,3,0,3,1,2,0,3,0,2,1,2,0,1,1,1,2,2
IRF3,0,2,0,0,2,0,2,3,2,0,3,2,3,2,2,0,1,2,0,2,0,0,2,2,3,2,0,0,0,0,0,2,2,2,0,3,0,0,0,2,3,2,2,2,2,0,1,0,2,2,2,0,2,1,1,0,2,2,0,2,2,0,1,0,2,3,0,0,3,1,0,2,1,2,0,0,0,3,2,0,0,2,0,2,2,2,3,2,3,2,1,0,2,1,3,0,2,1,2,0,0,0,2,3,1,2,3,3,2,1,2,2,0,1,3,0,3,2,2,0,3,1,2,2,2,0,2,1,2,2,2
PRMT1,0,2,0,0,2,0,3,3,2,0,2,2,3,2,1,0,1,3,2,0,0,0,3,2,3,0,0,0,0,0,0,3,1,3,0,2,0,0,1,2,3,2,1,2,2,0,0,0,2,1,0,0,2,0,2,0,2,1,0,0,2,0,0,0,1,3,0,0,3,1,1,2,0,2,0,0,0,3,2,0,0,1,0,1,0,1,3,2,3,1,1,0,1,1,3,0,2,0,2,0,0,0,1,3,2,3,3,3,0,2,1,3,0,1,3,0,3,2,2,1,3,2,1,2,3,0,0,0,0,1,2
RRAS,0,2,0,2,2,0,2,3,2,0,2,2,3,2,3,0,1,2,2,1,0,0,2,2,3,2,1,0,0,0,0,2,1,2,0,2,0,0,3,1,3,2,2,1,2,2,1,0,2,2,3,2,2,2,2,0,2,2,1,3,2,0,1,0,1,3,0,0,3,2,2,2,1,2,0,3,0,3,3,2,0,3,0,2,2,2,3,2,3,2,3,0,3,2,3,2,2,1,2,0,0,2,3,3,2,2,3,3,3,3,2,2,0,2,3,0,3,2,2,2,3,2,3,2,2,0,1,2,1,3,2
PRRG2,0,1,0,0,1,0,1,3,1,0,1,2,3,1,1,0,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,2,1,0,2,1,0,0,2,0,3,3,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3,1,0,2,2,2,0,3,0,3,1,2,0,1,0,1,2,3,3,0,3,1,3,0,0,1,3,1,1,0,0,0,0,2,0,3,1,1,3,3,0,2,0,0,0,1,3,0,3,0,2,2,3,0,1,0,1,0,0,0,0,1,1
SCAF1,0,2,0,0,2,0,3,3,2,0,2,2,3,2,3,0,1,2,2,1,0,0,2,2,3,2,0,0,0,0,0,2,2,2,2,2,0,0,2,2,3,2,2,0,2,0,1,0,2,3,2,2,2,0,2,0,2,2,1,3,1,0,3,0,1,3,0,0,3,2,2,2,1,2,0,1,0,3,2,1,0,2,0,2,2,2,3,2,3,2,3,0,2,1,3,1,3,3,2,2,0,2,1,3,2,2,3,3,2,2,2,2,0,2,3,0,3,2,2,0,3,0,2,2,3,2,1,2,1,3,2
PRR12,0,2,0,0,2,0,2,3,2,0,1,2,3,0,0,0,1,2,2,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,3,2,2,2,2,1,2,0,2,2,2,2,1,2,2,0,2,2,0,1,2,0,0,0,0,3,0,0,3,2,1,2,1,2,0,1,0,3,2,1,0,1,0,0,2,2,3,0,3,2,3,0,2,1,3,2,1,1,1,3,0,2,2,3,1,0,3,3,2,2,2,2,0,1,3,0,3,2,2,1,3,0,2,2,0,2,1,0,0,0,2
